titre;sous_titre;description;cat;sous_cat;link;link_title;lieu;img;img_alt;date
Archiluth de Christoph Koch;;;Cordes;;./0161217-archiluth-christoph-koch.aspx;Description de l'archiluth de Christoph Koch de 1654;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000004800/CMIM000019496_230x230.jpg;Photographie de Archiluth de Christoph Koch;
Basse de viole de Michel Collichon;;;Cordes;;./0130214-basse-viole-de-michel-collichon.aspx;Description de la Basse de viole de Michel Collichon de 1683;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000000300/CMIM00029357_230x230.jpg;Photographie de Basse de viole de Michel Collichon;
Basse de violon, recoupée en violoncelle d'Andrea Amati;;;Cordes;;./1115940-basse-de-violon-recoupee-en-violoncelle-andrea-i-amati-e202011.aspx;Description de la basse de violon, recoupée en violoncelle, d' Andrea Amati;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000012500/1115940_CMIM000035322_230x230.jpg;Photographie de Basse de violon, recoupée en violoncelle d'Andrea Amati;
Cistre attribué à Girolamo Virchi;;;Cordes;;./0160997-cistre-girolamo-virchi.aspx;Description du cistre attribué à Girolamo Virchi;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000010800/160997_CMIM000015102_235x235.jpg;Photographie de Cistre attribué à Girolamo Virchi;
Cithare Koto;;;Cordes;;./0162123-cithare-koto.aspx;Description du cithare koto vers 1780;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000005900/CMIM000024952_230x230.jpg;Photographie de Cithare Koto;
Contrebasse à trois cordes de Jean-Baptiste Vuillaume;;;Cordes;;./0130205-contrebasse-a-trois-cordes-vuillaume.aspx;La contrebasse à trois cordes de Jean-Baptiste Vuillaume vers 1850;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000009400/CMIM000026139_230x230.jpg;Photographie de Contrebasse à trois cordes de Jean-Baptiste Vuillaume;
Guitare de Jean Baptiste dit Jean Voboam;;;Cordes;;./0156651-guitare-jean-baptiste-voboam.aspx;Description de la guitare de Jean Baptiste dit Jean Voboam de 1708;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000000900/CMIM000023207_230x230.jpg;Photographie de Guitare de Jean Baptiste dit Jean Voboam;
Guitare à sept cordes de Lacote/Coste;;;Cordes;;./0158354-guitare-a-sept-cordes-lacote-coste.aspx;Description de la guitare à sept cordes de Lacote/Coste de 1850;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000002700/CMIM000019190_230x230.jpg;Photographie de Guitare à sept cordes de Lacote/Coste;
Guitare dite "de Lambert";;;Cordes;;./0158844-guitare-dite-de-lambert.aspx;Description de la guitare dite de Lambert - après 1758;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000002900/CMIM000018286_230x230.jpg;Photographie de Guitare dite "de Lambert";
Guitare Django Reinhardt;;;Cordes;;./0160626-guitare-django-reinhardt-de-henri-selmer.aspx;Description de la guitare Django Reinhardt - 1940;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000011000/160626_CMIM000015188_235x235.jpg;Photographie de Guitare Django Reinhardt;
Guitare de Nicolas Grobert;;;Cordes;;./0161650-guitare-nicolas-grobert.aspx;Description de la guitare de Nicolas Grobert - vers 1830;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000005200/CMIM00015061_230x230.jpg;Photographie de Guitare de Nicolas Grobert;
