titre;sous_titre;description;cat;sous_cat;link;link_title;lieu;img;img_alt;date
Amplificateur Fender;;;Autres;;./0157147-amplificateur-fender.aspx; Description de l'amplificateur Fender de 1965;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000001400/CMIM00023768_230x230.jpg;Photographie de Amplificateur Fender;
Cristal Baschet;;;Autres;;./0161194-cristal-baschet.aspx; Description du Cristal Baschet de 1980;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000004700/CMIM000022799_230x230.jpg;Photographie de Cristal Baschet;
Harmonica de verre;;;Autres;;./0160414-harmonica-de-verre.aspx; Description de l'Harmonica de verre - Fin du XVIIIe siècle;;https://drop.philharmoniedeparis.fr/CMFM/CMFM000004100/CMIM00029744_230x230.jpg;Photographie de Harmonica de verre;
